Latitude,Longitude,Elevation(m),LocalDate,LocalTime,LimitingMag,SQMReading,CloudCover,Constellation
43.8786,2.8328,355.07,2017-03-21,22:00,3,,clear,
43.0972,-0.0245812,412.4,2017-03-16,00:00,4,,clear,Leo
45.8193,-0.727045,40.68,2017-03-16,21:48,5,,clear,
48.7997,6.0947,262.4,2017-03-03,17:13,4,,1/2 of sky,Leo
47.5737,6.86263,337.96,2017-02-19,19:45,4,18.54,1/4 of sky,Orion
47.7478,7.41232,238.37,2017-02-14,23:06,3,,clear,Orion
45.9276,3.06093,481.94,2017-01-28,00:00,5,,1/4 of sky,Orion
44.9334,2.44815,628.18,2017-01-29,00:00,3,,clear,Orion
48.4288,-2.74833,155.85,2017-01-26,21:40,6,20.65,clear,Orion
48.4117,-2.74315,169.62,2017-01-26,21:32,6,20.7,clear,Orion
48.4068,-2.75815,175.83,2017-01-26,21:25,6,20.8,clear,Orion
48.3974,-2.72953,193.76,2017-01-26,21:15,5,19.95,clear,Orion
48.378,-2.75236,220.97,2017-01-26,21:05,6,20.9,clear,Orion
48.3467,-2.75328,208.74,2017-01-26,20:59,5,20.05,clear,Orion
48.3863,-2.67407,128.82,2017-01-26,20:40,6,20.55,clear,Orion
48.3808,-2.64352,128.0,2017-01-26,20:34,6,20.45,clear,Orion
48.4328,-2.60827,60.37,2017-01-26,20:23,5,20.2,clear,Orion
48.4209,-2.62684,57.98,2017-01-26,20:15,5,20.15,clear,Orion
48.4111,-2.65191,83.7,2017-01-26,20:07,6,20.65,clear,Orion
48.4209,-2.65736,92.06,2017-01-26,20:01,5,19.2,clear,Orion
48.4446,-2.66235,84.36,2017-01-26,19:49,6,20.4,clear,Orion
48.5242,-2.65453,8.47,2017-01-24,21:50,6,20.6,clear,Orion
48.3761,-2.63172,80.26,2017-01-24,21:08,4,18.5,clear,Orion
48.3629,-2.63186,120.78,2017-01-24,21:00,6,20.5,clear,Orion
48.3518,-2.63722,185.35,2017-01-24,20:52,5,19.85,clear,Orion
43.2951,-0.370797,210.78,2017-01-24,19:28,3,,clear,Orion
48.3599,-2.63345,139.79,2017-01-24,20:47,5,19.8,clear,Orion
48.357,-2.62446,169.71,2017-01-24,20:40,6,20.55,clear,Orion
48.354,-2.61665,177.46,2017-01-24,20:35,6,20.75,clear,Orion
48.3229,-2.58355,340.16,2017-01-24,20:25,6,20.9,clear,Orion
48.401,-2.58634,88.67,2017-01-24,20:10,5,20.1,clear,Orion
48.4587,-2.53247,77.71,2017-01-24,20:00,5,19.65,clear,Orion
48.4626,-2.62522,67.62,2017-01-24,19:50,5,19.65,clear,Orion
48.4977,-2.63719,68.86,2017-01-24,19:25,5,20.1,clear,Orion
45.8037,1.52583,268.69,2017-01-25,20:45,4,,1/4 of sky,Orion
43.2951,-0.370797,210.78,2017-01-24,19:28,3,,clear,Orion
43.2951,-0.370797,210.78,2017-01-24,19:28,3,,clear,Orion
43.6768,4.62155,11.29,2017-01-24,21:41,3,,clear,Orion
43.6768,4.62155,11.29,2017-01-24,21:41,3,,clear,Orion
43.6195,7.03919,171.94,2017-01-24,21:13,3,,1/4 of sky,Orion
48.408,-2.81888,207.15,2017-01-23,22:25,5,20.0,clear,Orion
48.4219,-2.82986,169.44,2017-01-23,22:07,6,20.6,clear,Orion
48.401,-2.90724,170.4,2017-01-23,21:48,6,20.4,clear,Orion
48.4672,-2.94883,153.32,2017-01-23,21:48,6,21.05,clear,Orion
48.424,-2.93181,225.27,2017-01-23,21:40,6,21.0,clear,Orion
48.4449,-2.85504,196.4,2017-01-23,21:30,5,20.2,clear,Orion
48.4557,-2.8325,95.27,2017-01-23,21:23,5,19.75,clear,Orion
48.5113,-2.89042,173.58,2017-01-23,20:58,6,20.65,clear,Orion
48.5048,-2.91358,189.26,2017-01-23,20:52,6,20.6,clear,Orion
48.485,-2.96201,175.01,2017-01-23,20:42,6,20.6,clear,Orion
48.4859,-2.98559,248.15,2017-01-23,20:35,6,21.0,clear,Orion
48.5002,-2.95314,126.42,2017-01-23,20:27,6,20.9,clear,Orion
48.5335,-2.97517,124.52,2017-01-23,20:20,5,19.4,clear,Orion
48.5331,-2.93318,136.93,2017-01-23,20:12,6,20.7,clear,Orion
46.5802,0.340375,115.41,2017-01-22,20:29,3,,1/4 of sky,Orion
48.4966,-2.7409,93.82,2017-01-21,21:30,5,19.1,clear,Orion
45.7776,1.4277,345.55,2017-01-21,22:00,6,,clear,Orion
48.4951,-2.7317,99.77,2017-01-21,21:20,4,18.3,clear,Orion
48.4879,-2.75092,110.09,2017-01-20,21:20,4,18.25,clear,Orion
48.5053,-2.75901,86.2,2017-01-20,21:12,4,18.4,clear,Orion
48.4829,-2.79122,141.66,2017-01-20,21:01,5,19.15,clear,Orion
48.4951,-2.7966,135.3,2017-01-20,20:52,5,19.1,clear,Orion
48.5057,-2.81211,127.31,2017-01-20,20:46,4,18.8,clear,Orion
