ville,departement,region,nombre_etoiles,latitude,longitude,nom_dep
Saint-Pierre-de-Frugie,Dordogne,Nouvelle Aquitaine,3,45.572696,0.998347,Departement de la Dordogne
Saint-Goussaud,Creuse,Nouvelle Aquitaine,3,46.03994,1.577573,Departement de la Haute-Vienne
Brézins,Isere,Auvergne-Rhône-Alpes,3,45.348848,5.306584,Departement de l'Isere
Brochon,Cote-d'or,Bourgogne-Franche-Comté,3,47.238675,4.969781,Departement de la Cote-d'Or
Eygalayes,Drome,Auvergne-Rhône-Alpes,3,44.238777,5.607203,Departement des Hautes-Alpes
Saint-Menges,Ardennes,Grand-Est,3,49.73814,4.925832,Departement des Ardennes
Bourgueil,Indre-et-loire,Centre-Val de Loire,3,47.281177,0.168367,Departement d'Indre-et-Loire
Revel,Haute-garonne,Occitanie,3,43.457915,2.003297,Departement de la Haute-Garonne
Le Bastit,Aveyron,Occitanie,3,44.20863,1.970195,Departement de l'Aveyron
Hardinghen,Pas-de-calais,Hauts-de-France,3,50.799177,1.820658,Departement du Pas-de-Calais
Chassillé,Sarthe,Pays de la Loire,3,48.019718,-0.1167619999999999,Departement de la Sarthe
Saint-Pierre-Avez,Hautes-alpes,Provence-Alpes-Côte d'Azur,3,44.256636,5.760907,Departement des Hautes-Alpes
Chagnon,Loire,Auvergne-Rhône-Alpes,3,45.533857,4.55298,Departement de la Loire
Montmorin,Hautes-alpes,,3,44.451062,5.541548,Departement des Hautes-Alpes
Breuil-Barret,Vendee,Pays de la Loire,3,46.652449,-0.683569,Departement de la Vendee
Saint-Melaine-sur-Aubance,Maine-et-loire,Pays de la Loire,3,47.369439,-0.494067,Departement de Maine-et-Loire
Carlucet,Lot,Occitanie,3,44.721033,1.612158,Departement du Lot
Saint-Étienne-Lardeyrol,Haute-loire,Auvergne-Rhône-Alpes,3,45.070974,4.000032,Departement de la Haute-Loire
Saint-Genès-du-Retz,Puy-de-dome,Auvergne-Rhône-Alpes,3,46.061268,3.213436,Departement du Puy-de-Dome
Labastide-du-Vert,Lot,Occitanie,3,44.51077,1.261223,Departement du Lot
Flaujac-Poujols,Lot,Occitanie,3,44.405321,1.49933,Departement du Lot
Mirabeau,Alpes-de-haute-provence,Provence-Alpes-Côte d'Azur,3,44.062313,6.089962,Departement des Alpes-de-Haute-Provence
Lompnieu,Ain,Auvergne-Rhône-Alpes,3,45.960879,5.660354,Departement de l'Ain
Fontaines-en-Sologne,Loir-et-cher,Centre-Val de Loire,3,47.509253,1.550472,Departement du Loir-et-Cher
Saint-Étienne-du-Vauvray,Eure,Normandie,3,49.242311,1.219001,Departement de l'Eure
Saint-Méard,Haute-vienne,Nouvelle Aquitaine,3,45.66489,1.54739,Departement de la Haute-Vienne
Cosswiller,Bas-rhin,Grand-Est,3,48.630291,7.39757,Departement du Bas-Rhin
Séreilhac,Haute-vienne,Nouvelle Aquitaine,3,45.768705,1.081343,Departement de la Haute-Vienne
Chazelles-sur-Lavieu,Loire,Auvergne-Rhône-Alpes,3,45.538343,3.999486,Departement de la Loire
La Chamba,Loire,Auvergne-Rhône-Alpes,3,45.754567,3.756397,Departement de la Loire
Revest-les-Roches,Alpes-maritimes,Provence-Alpes-Côte d'Azur,3,43.880102,7.1562,Departement des Alpes-Maritimes
Leulinghen-Bernes,Pas-de-calais,Hauts-de-France,3,50.830465,1.717912,Departement du Pas-de-Calais
Les Pieux,Manche,Normandie,3,49.512529,-1.807678,Departement de la Manche
Houldizy,Ardennes,Grand-Est,3,49.810229,4.668869,Departement des Ardennes
Saint-Victor-sur-Rhins,Loire,Auvergne-Rhône-Alpes,3,46.003805,4.280623,Departement du Rhone
