ville,departement,region,nombre_etoiles,latitude,longitude
Saint-Claude-de-Diray,Loir-et-cher,Centre-Val de Loire,2,47.614637,1.4158
La Gresle,Loire,Auvergne-Rhône-Alpes,2,46.074949,4.280987
La Chapelle-Heulin,Loire-atlantique,Pays de la Loire,2,47.175875,-1.340764
La Tour-d'Aigues,Vaucluse,Provence-Alpes-Côte d'Azur,2,43.725116,5.547809
Jouy-Mauvoisin,Yvelines,Ile-de-France,2,48.974512,1.647617
Craponne-sur-Arzon,Haute-loire,Auvergne-Rhône-Alpes,2,45.330673,3.847666
Calès,Haute-garonne,Occitanie,2,43.441872,2.008128
Esbarres,Cote-d'or,Bourgogne-Franche-Comté,2,47.093773,5.213735
Cobrieux,Nord,Hauts-de-France,2,50.543413,3.228182
Saint-Brice-sur-Vienne,Haute-vienne,Nouvelle Aquitaine,2,45.879038,0.952404
Prévocourt,Moselle,Grand-Est,2,48.914243,6.427071
Auzat-la-Combelle,Puy-de-dome,Auvergne-Rhône-Alpes,2,45.452293,3.317286
Lure,Haute-saone,Bourgogne-Franche-Comté,2,47.682941,6.495943
Concoret,Morbihan,Bretagne,2,48.063816,-2.207172
Saint-Bonnet-Elvert,Correze,Nouvelle Aquitaine,2,45.16101,1.902894
Saint-Pierre-du-Lorouër,Sarthe,Pays de la Loire,2,47.80529,0.5214219999999999
Piégut-Pluviers,Dordogne,Nouvelle Aquitaine,2,45.621703,0.688472
Neuvy,Loir-et-cher,Centre-Val de Loire,2,47.563002,1.602218
Espagnac,Correze,Nouvelle Aquitaine,2,45.229385,1.896452
Castillon,Gard,Occitanie,2,44.289436,4.133638
La Meignanne,Mayenne,Pays de la Loire,2,47.792303,-0.503072
Uvernet-Fours,Alpes-de-haute-provence,Provence-Alpes-Côte d'Azur,2,44.360362,6.6249
Sanghen,Pas-de-calais,Hauts-de-France,2,50.775692,1.901878
Ris,Hautes-pyrenees,Occitanie,2,42.886767,0.397211
Saint-Vallier,,Auvergne-Rhône-Alpes,2,45.177773,4.814306
Craintilleux,Loire,Auvergne-Rhône-Alpes,2,45.582846,4.233706
Ouchamps,Loir-et-cher,Centre-Val de Loire,2,47.471758,1.307157
La Terrasse,Loire,Auvergne-Rhône-Alpes,2,45.45245,4.284493
Barret-sur-Méouge,Hautes-alpes,Provence-Alpes-Côte d'Azur,2,44.261853,5.732336
Quelmes,Pas-de-calais,Hauts-de-France,2,50.732672,2.136124
Bouray-sur-Juine,Essonne,Ile-de-France,2,48.519564,2.297199
Saint-Bonnet-le-Courreau,Loire,Auvergne-Rhône-Alpes,2,45.659496,3.943881
